id;nome;area;esfera;uf;grupo_uc;ano;tipo;agua_solo;carbono_solo;declividade;d_hidrovias;d_mineracao;d_municipios;d_rodovias;elevacao;nitrogenio;precipitacao;temperatura;desmatamento;biomass_Mgha;desm_evit;carb_evit
0000.00.0056;EE DE JUTAÍ-SOLIMÕES;289512,1800;Federal;AM;Proteção Integral;1983;uc;16,93924811339520;529,168948025648;0,1338411777475532;29,657842798545136;199,83340577475039;753,976696085170488;445,974034700270181;71,21960456562410;344,720549298034;239,588750068149;26,1605906107645;0;5,17764207588196e+05;83;1,82816255264282e+06
0000.00.0207;RB DO GURUPI;271465,0800;Federal;MA;Proteção Integral;1961;uc;63,07002643400787;361,693492098003;0,9364214775020978;154,879416934428320;31,69443308921381;119,961176511766723;51,549163964296589;187,93449746586771;259,728907915862;139,262979856679;25,6153173007392;65;2,31103578770161e+05;164;1,64474435954094e+06
0000.00.0233;RESEX LAGO DO CUNIÃ;76409,9900;Federal;RO;Uso Sustentável;2018;uc;23,35588405437625;350,168904442228;0,1888653092195435;14,362673515195093;67,46275475109630;58,500375659329357;24,528306012582391;74,47110449455739;266,460090221436;186,556017758736;25,7204132313949;1;1,28996359201431e+05;59;1,05648873214722e+06
0000.00.0281;PN DO JURUENA;1957013,5200;Federal;AM, MT;Proteção Integral;2006;uc;25,91499444053688;348,496089048000;0,7627824269449347;35,021457517809068;130,84214112837441;484,463438241982487;106,997203867921499;186,65723269099792;244,792557034446;172,924106507839;26,0341018624091;7;4,60424389070320e+06;1374;3,23240470764160e+07
0000.16.0291;RB DO PARAZINHO;276,2400;Estadual;AP;Proteção Integral;1985;uc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0,00000000000000e+00;0;0,00000000000000e+00
0000.16.0292;RDS DO RIO IRATAPURU;873570,7500;Estadual;AP;Uso Sustentável;1997;uc;91,87336379301222;341,803743466535;1,0656197328367820;165,663492691872904;17,40626208728860;184,687356175567714;87,281277970736241;237,27442093759805;276,979410037281;198,442619406668;25,4675335304076;0;2,81295793275452e+06;442;1,41804620574951e+07
0000.16.0293;APA DO RIO CURIAÚ;21872,6200;Estadual;AP;Uso Sustentável;1998;uc;86,60445301840750;316,023533871299;0,1766955554217955;13,460454352164383;24,65178965153306;8,442828868564806;2,604075788025651;14,13534274854158;239,600401882920;189,326649643017;26,9434073690022;5;9,31531973218918e+03;12;2,28543991565704e+04
0000.51.0448;PE SERRA RICARDO FRANCO;157829,3600;Estadual;MT;Proteção Integral;1997;uc;38,83731957012095;317,193508934805;3,2567495563041611;17,136943139025067;45,08614546141474;441,874126688310525;12,254500168558083;452,64488073249129;229,242552103192;132,387833011482;24,5758044533215;91;1,02741831517458e+05;107;7,47174889993668e+05
0000.51.0451;EE DO RIO RONURO;102670,6500;Estadual;MT;Proteção Integral;1998;uc;11,54726261323349;265,984426559582;0,5110007400060592;270,270817318277750;293,34244459502548;338,258319376508950;23,478412834849603;366,91680285395410;178,014117152860;143,687845450680;24,2049731096095;0;1,24482728799820e+05;60;7,32124150085449e+05
0000.51.0455;PE IGARAPÉS DO JURUENA;223815,8400;Estadual;MT;Proteção Integral;2002;uc;24,32254472313440;332,448058657796;0,7953441321691123;49,548126632108819;58,52966128635834;383,892972472323436;67,844591426421715;192,47492271047005;223,819418341803;165,709695537208;25,7223797511627;0;5,04427846893311e+05;159;3,59707582855225e+06
0000.51.0456;PE TUCUMÃ;81009,8100;Estadual;MT;Proteção Integral;2002;uc;12,72137002873599;342,697388266090;0,2510032642230930;225,796304964365191;95,70160085245260;221,715978703296685;14,980817220306159;126,95598339737204;236,817106175601;189,716646893661;25,4272262806310;0;1,98980738899231e+05;45;1,12962778472900e+06
0000.51.0462;PE SERRA SANTA BÁRBARA;120430,8900;Estadual;MT;Proteção Integral;1999;uc;37,39120509725893;338,784445106436;3,4215437880685373;112,016387704017262;124,94421720146836;354,910313546607824;45,822253632386392;642,27544758775218;251,597055977638;128,606526270621;24,1714627024927;36;5,33398328819275e+04;60;2,89493112182617e+05
0000.51.0463;RESEX GUARIBA-ROOSEVELT;137668,4800;Estadual;MT;Uso Sustentável;2007;uc;25,47679214037382;333,230604388897;0,4519668024692398;212,666788658728962;158,70877790010891;234,861048302283649;24,802998206111106;128,80042938232421;244,172901587853;180,612765937218;25,5357984865629;72;2,69142023114204e+05;63;1,35755955781937e+06
0000.51.0470;PE DO XINGU;95327,8500;Estadual;MT;Proteção Integral;2003;uc;45,57491422174860;344,825738224378;0,6154723007970755;254,173839252868191;142,22499780164560;481,177180191152104;35,054917092338314;301,83807949454439;250,258742261408;171,563662726131;25,8117542086718;0;6,75256285781860e+04;39;2,69057720565796e+05
